,path,conversion,path_count,conversion_rate,path_list,step
298,Online Display>Facebook>Instagram>Online Display>Facebook>Online Display>Instagram>Facebook>Online Display>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,1,1,1.0,"['Online Display', 'Facebook', 'Instagram', 'Online Display', 'Facebook', 'Online Display', 'Instagram', 'Facebook', 'Online Display', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']",15
299,Online Display>Facebook>Instagram>Online Display>Paid Search>Facebook,1,1,1.0,"['Online Display', 'Facebook', 'Instagram', 'Online Display', 'Paid Search', 'Facebook']",6
300,Online Display>Facebook>Instagram>Online Video>Online Display,1,1,1.0,"['Online Display', 'Facebook', 'Instagram', 'Online Video', 'Online Display']",5
301,Online Display>Facebook>Instagram>Paid Search,2,5,0.4,"['Online Display', 'Facebook', 'Instagram', 'Paid Search']",4
302,Online Display>Facebook>Online Display,7,184,0.03804347826086957,"['Online Display', 'Facebook', 'Online Display']",3
303,Online Display>Facebook>Online Display>Facebook>Instagram,1,6,0.16666666666666666,"['Online Display', 'Facebook', 'Online Display', 'Facebook', 'Instagram']",5
304,Online Display>Facebook>Online Display>Facebook>Paid Search>Online Display,1,2,0.5,"['Online Display', 'Facebook', 'Online Display', 'Facebook', 'Paid Search', 'Online Display']",6
305,Online Display>Facebook>Online Display>Instagram>Paid Search>Online Display>Paid Search>Online Video>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Online Display>Facebook>Instagram,1,1,1.0,"['Online Display', 'Facebook', 'Online Display', 'Instagram', 'Paid Search', 'Online Display', 'Paid Search', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Online Display', 'Facebook', 'Instagram']",20
306,Online Display>Facebook>Online Video,1,22,0.045454545454545456,"['Online Display', 'Facebook', 'Online Video']",3
307,Online Display>Facebook>Online Video>Paid Search,1,2,0.5,"['Online Display', 'Facebook', 'Online Video', 'Paid Search']",4
308,Online Display>Facebook>Paid Search,3,46,0.06521739130434782,"['Online Display', 'Facebook', 'Paid Search']",3
309,Online Display>Facebook>Paid Search>Facebook,1,13,0.07692307692307693,"['Online Display', 'Facebook', 'Paid Search', 'Facebook']",4
310,Online Display>Facebook>Paid Search>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,1,1,1.0,"['Online Display', 'Facebook', 'Paid Search', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']",10
311,Online Display>Facebook>Paid Search>Facebook>Paid Search,1,2,0.5,"['Online Display', 'Facebook', 'Paid Search', 'Facebook', 'Paid Search']",5
312,Online Display>Facebook>Paid Search>Instagram,1,5,0.2,"['Online Display', 'Facebook', 'Paid Search', 'Instagram']",4
313,Online Display>Facebook>Paid Search>Instagram>Online Display,1,2,0.5,"['Online Display', 'Facebook', 'Paid Search', 'Instagram', 'Online Display']",5
314,Online Display>Facebook>Paid Search>Instagram>Paid Search>Facebook>Paid Search,1,1,1.0,"['Online Display', 'Facebook', 'Paid Search', 'Instagram', 'Paid Search', 'Facebook', 'Paid Search']",7
315,Online Display>Instagram,18,339,0.05309734513274336,"['Online Display', 'Instagram']",2
316,Online Display>Instagram>Facebook,6,106,0.05660377358490566,"['Online Display', 'Instagram', 'Facebook']",3
317,Online Display>Instagram>Facebook>Instagram,2,20,0.1,"['Online Display', 'Instagram', 'Facebook', 'Instagram']",4
318,Online Display>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,1,1,1.0,"['Online Display', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']",7
319,Online Display>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,1,3,0.3333333333333333,"['Online Display', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']",8
320,Online Display>Instagram>Facebook>Instagram>Online Display>Facebook,1,1,1.0,"['Online Display', 'Instagram', 'Facebook', 'Instagram', 'Online Display', 'Facebook']",6
321,Online Display>Instagram>Facebook>Paid Search>Online Display,2,5,0.4,"['Online Display', 'Instagram', 'Facebook', 'Paid Search', 'Online Display']",5
322,Online Display>Instagram>Facebook>Paid Search>Online Display>Paid Search,1,1,1.0,"['Online Display', 'Instagram', 'Facebook', 'Paid Search', 'Online Display', 'Paid Search']",6
323,Online Display>Instagram>Online Display,5,68,0.07352941176470588,"['Online Display', 'Instagram', 'Online Display']",3
324,Online Display>Instagram>Paid Search,1,22,0.045454545454545456,"['Online Display', 'Instagram', 'Paid Search']",3
325,Online Display>Instagram>Paid Search>Online Display,1,5,0.2,"['Online Display', 'Instagram', 'Paid Search', 'Online Display']",4
326,Online Display>Online Video,16,344,0.046511627906976744,"['Online Display', 'Online Video']",2
327,Online Display>Online Video>Facebook,1,15,0.06666666666666667,"['Online Display', 'Online Video', 'Facebook']",3
328,Online Display>Online Video>Facebook>Instagram,1,1,1.0,"['Online Display', 'Online Video', 'Facebook', 'Instagram']",4
329,Online Display>Online Video>Facebook>Online Video,1,4,0.25,"['Online Display', 'Online Video', 'Facebook', 'Online Video']",4
330,Online Display>Online Video>Facebook>Online Video>Paid Search>Online Display>Online Video>Online Display>Online Video,1,1,1.0,"['Online Display', 'Online Video', 'Facebook', 'Online Video', 'Paid Search', 'Online Display', 'Online Video', 'Online Display', 'Online Video']",9
331,Online Display>Online Video>Instagram>Facebook,2,3,0.6666666666666666,"['Online Display', 'Online Video', 'Instagram', 'Facebook']",4
332,Online Display>Online Video>Instagram>Online Video,1,3,0.3333333333333333,"['Online Display', 'Online Video', 'Instagram', 'Online Video']",4
333,Online Display>Online Video>Online Display,5,62,0.08064516129032258,"['Online Display', 'Online Video', 'Online Display']",3
334,Online Display>Online Video>Online Display>Online Video>Online Display>Online Video,1,4,0.25,"['Online Display', 'Online Video', 'Online Display', 'Online Video', 'Online Display', 'Online Video']",6
335,Online Display>Online Video>Online Display>Paid Search,1,8,0.125,"['Online Display', 'Online Video', 'Online Display', 'Paid Search']",4
336,Online Display>Online Video>Paid Search,1,17,0.058823529411764705,"['Online Display', 'Online Video', 'Paid Search']",3
337,Online Display>Paid Search,92,1796,0.051224944320712694,"['Online Display', 'Paid Search']",2
338,Online Display>Paid Search>Facebook,5,91,0.054945054945054944,"['Online Display', 'Paid Search', 'Facebook']",3
339,Online Display>Paid Search>Facebook>Instagram,2,8,0.25,"['Online Display', 'Paid Search', 'Facebook', 'Instagram']",4
340,Online Display>Paid Search>Facebook>Online Display,1,18,0.05555555555555555,"['Online Display', 'Paid Search', 'Facebook', 'Online Display']",4
341,Online Display>Paid Search>Facebook>Online Display>Online Video>Facebook>Instagram>Facebook>Online Video>Facebook,1,1,1.0,"['Online Display', 'Paid Search', 'Facebook', 'Online Display', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Online Video', 'Facebook']",10
342,Online Display>Paid Search>Facebook>Online Display>Paid Search,1,3,0.3333333333333333,"['Online Display', 'Paid Search', 'Facebook', 'Online Display', 'Paid Search']",5
343,Online Display>Paid Search>Facebook>Online Video,1,1,1.0,"['Online Display', 'Paid Search', 'Facebook', 'Online Video']",4
344,Online Display>Paid Search>Instagram,2,35,0.05714285714285714,"['Online Display', 'Paid Search', 'Instagram']",3
345,Online Display>Paid Search>Instagram>Facebook>Paid Search>Facebook,2,2,1.0,"['Online Display', 'Paid Search', 'Instagram', 'Facebook', 'Paid Search', 'Facebook']",6
346,Online Display>Paid Search>Instagram>Facebook>Paid Search>Facebook>Paid Search>Online Display>Paid Search>Online Display,1,1,1.0,"['Online Display', 'Paid Search', 'Instagram', 'Facebook', 'Paid Search', 'Facebook', 'Paid Search', 'Online Display', 'Paid Search', 'Online Display']",10
