,path,conversion,path_count,conversion_rate,path_list
361,Online Display>Paid Search>Online Display>Paid Search>Online Display>Instagram,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search', 'Online Display', 'Instagram']"
362,Online Display>Paid Search>Online Display>Paid Search>Online Display>Paid Search,1,14,0.07142857142857142,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search', 'Online Display', 'Paid Search']"
363,Online Display>Paid Search>Online Video,4,34,0.11764705882352941,"['Online Display', 'Paid Search', 'Online Video']"
364,Online Display>Paid Search>Online Video>Facebook>Online Display,1,1,1.0,"['Online Display', 'Paid Search', 'Online Video', 'Facebook', 'Online Display']"
365,Online Display>Paid Search>Online Video>Online Display>Paid Search,1,4,0.25,"['Online Display', 'Paid Search', 'Online Video', 'Online Display', 'Paid Search']"
366,Online Video,1319,26453,0.04986201943068839,['Online Video']
367,Online Video>Facebook,47,934,0.05032119914346895,"['Online Video', 'Facebook']"
368,Online Video>Facebook>Instagram,8,108,0.07407407407407407,"['Online Video', 'Facebook', 'Instagram']"
369,Online Video>Facebook>Instagram>Facebook,2,34,0.058823529411764705,"['Online Video', 'Facebook', 'Instagram', 'Facebook']"
370,Online Video>Facebook>Instagram>Facebook>Instagram,1,5,0.2,"['Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
371,Online Video>Facebook>Instagram>Facebook>Instagram>Facebook,1,3,0.3333333333333333,"['Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
372,Online Video>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Online Video>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,1,1,1.0,"['Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
